CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
266	422	18	0.8369	-182.203
69	74	18	0.8784	16.045
73	74	18	0.888	15.974
74	316	18	0.776	30.943
243	246	18	0.7846	1.003
243	262	18	0.8566	-43.023
14	316	18	0.8034	0.893
244	246	18	0.8693	17.027
244	247	18	0.9045	-28.031
244	260	18	0.9446	-44.026
244	262	18	0.8349	-26.999
244	265	18	0.8305	-71.026
244	270	18	0.9366	-132.078
244	273	18	0.9139	-176.105
244	289	18	0.8276	-264.157
260	424	18	0.8771	-182.203
422	424	18	0.8041	44.026
424	425	18	0.8674	44.026
270	421	18	0.7876	-182.204
421	422	18	0.7857	44.026
267	271	18	0.8015	-61.053
268	271	18	0.8831	-44.026
270	271	18	0.7702	74.037
262	267	18	0.7979	30.011
265	267	18	0.7834	74.037
267	268	18	0.8413	-17.027
260	273	18	0.9011	-132.079
270	273	18	0.9261	-44.026
273	282	18	0.8677	-44.026
273	289	18	0.8243	-88.053
247	261	18	0.9235	-44.026
260	261	18	0.9183	-28.031
261	262	18	0.78	45.058
260	262	18	0.8794	17.027
260	265	18	0.8192	-27.000
260	270	18	0.934	-88.052
260	282	18	0.8876	-176.105
260	289	18	0.8628	-220.131
316	336	18	0.9392	-14.016
336	340	18	0.9633	0.000
246	247	18	0.7754	-45.058
247	425	18	0.8309	-154.172
316	340	18	0.9434	-14.016
246	289	18	0.7793	-281.184
262	289	18	0.7962	-237.158
265	289	18	0.8211	-193.132
270	289	18	0.8365	-132.079
282	289	18	0.8734	-44.026
265	422	18	0.7816	-199.230
422	425	18	0.7804	88.052
246	318	18	0.8399	-15.974
316	318	18	0.9352	-62.037
69	316	18	0.8163	46.988
262	310	18	0.7853	76.016
310	311	18	0.8147	-44.026
270	282	18	0.8636	-88.052
246	265	18	0.9525	-88.052
262	265	18	0.9508	-44.026
265	282	18	0.7731	-149.105
265	311	18	0.7647	76.016
246	262	18	0.9555	-44.026
73	316	18	0.818	46.918
122	127	19	0.8004	-180.064
107	185	20	0.954	-0.000
185	187	20	0.866	43.990
185	199	20	0.934	0.000
107	199	20	0.9425	-0.000
187	199	20	0.8804	-43.990
107	187	20	0.8938	43.990
454	482	22	0.7728	56.063
461	482	22	0.7928	56.063
472	482	22	0.7442	-26.016
482	505	22	0.764	-28.031
456	469	22	0.7231	-2.016
469	472	22	0.7028	-26.016
381	505	22	0.7118	-236.214
404	505	22	0.7594	-208.182
454	505	22	0.803	28.032
461	505	22	0.811	28.032
472	505	22	0.7933	-54.047
381	404	22	0.9367	-28.031
381	454	22	0.7239	-264.245
381	456	22	0.7334	-154.136
381	461	22	0.7421	-264.246
381	472	22	0.8564	-182.167
404	456	22	0.7737	-126.104
456	461	22	0.709	-110.110
456	472	22	0.7953	-28.031
404	461	22	0.7863	-236.214
454	461	22	0.8153	-0.000
461	472	22	0.8081	82.078
404	454	22	0.7571	-236.214
454	472	22	0.8011	82.078
404	472	22	0.8821	-154.136
416	418	23	0.9512	74.073
420	479	24	0.8436	0.000
447	479	24	0.7002	74.019
420	447	24	0.7266	-74.019
